Category,Filename,Primary,Camouflage,HTS,Physics,Energy,Phase,Is_Fake,Fake_Type,Confidence,Recommendation
real_drone,drone_0000.csv,HELICOPTER,False,0.8954966571740776,0.16194360054281365,32.229703443030544,0.1979368611515406,False,GENUINE,0.95,ACCEPT
real_drone,drone_0001.csv,DRONE,True,0.8687794711201511,0.9999999999999946,1.9382120083418152e-13,0.6659999999395387,False,GENUINE,0.95,ACCEPT
real_drone,drone_0002.csv,DRONE,True,0.883388068116235,0.9999999999999946,1.9382120083418152e-13,0.39243155811141983,False,GENUINE,0.95,ACCEPT
real_drone,drone_0003.csv,HELICOPTER,False,0.7638981633757441,0.16235489816127924,33.70395130018456,0.40868412064473636,False,GENUINE,0.95,ACCEPT
real_drone,drone_0004.csv,DRONE,True,0.87645694446096,0.9999999999999946,1.9382120083418152e-13,0.6659999993084198,False,GENUINE,0.95,ACCEPT
real_drone,drone_0005.csv,DRONE,True,0.8805389333954105,0.9999999999999948,1.892178827309481e-13,0.6648072676332165,False,GENUINE,0.95,ACCEPT
real_drone,drone_0006.csv,DRONE,True,0.787355474056998,0.9920503152111112,0.3301873478938076,0.6409705301398841,False,GENUINE,0.95,ACCEPT
real_drone,drone_0007.csv,DRONE,True,0.8637238976792239,0.9999999999999946,1.9382120083418152e-13,0.4456592713242018,False,GENUINE,0.95,ACCEPT
real_drone,drone_0008.csv,DRONE,True,0.8901404612836584,0.9999999999999949,1.851481979987307e-13,0.3954409238127803,False,GENUINE,0.95,ACCEPT
real_drone,drone_0009.csv,HELICOPTER,True,0.837875451649161,0.9999999999999949,1.851481979987307e-13,0.3940869736691856,False,GENUINE,0.95,ACCEPT
real_drone,drone_0010.csv,DRONE,True,0.8603050827071623,0.9899784289916312,0.4199955307433144,0.6633698279064332,False,GENUINE,0.95,ACCEPT
real_drone,drone_0011.csv,HELICOPTER,False,0.8909790750006928,0.9225546782353304,2.7313869806472697,0.41527493192698095,False,GENUINE,0.95,ACCEPT
real_drone,drone_0012.csv,DRONE,True,0.8835322788773673,0.9999999999999949,1.851481979987307e-13,0.6383906987829694,False,GENUINE,0.95,ACCEPT
real_drone,drone_0013.csv,HELICOPTER,False,0.769024112565331,0.15563766871240636,34.429902963735515,0.410466112858057,False,GENUINE,0.95,ACCEPT
real_drone,drone_0014.csv,DRONE,True,0.8677020892083206,0.9920283227759162,0.34138185443524127,0.6659999999862571,False,GENUINE,0.95,ACCEPT
real_drone,drone_0015.csv,HELICOPTER,False,0.8686585762994304,0.30827023937600717,25.945471778220302,0.40339776413664674,False,GENUINE,0.95,ACCEPT
real_drone,drone_0016.csv,HELICOPTER,False,0.8805999441696687,0.16153592473959588,32.31764916427813,0.41424692691475185,False,GENUINE,0.95,ACCEPT
real_drone,drone_0017.csv,DRONE,True,0.860472012774682,0.9999999999999946,1.9382120083418152e-13,0.6607881016113062,False,GENUINE,0.95,ACCEPT
real_drone,drone_0018.csv,HELICOPTER,False,0.899508170085903,0.308546177380309,25.150698465527327,0.2698929628679206,False,GENUINE,0.95,ACCEPT
real_drone,drone_0019.csv,HELICOPTER,False,0.8729605318278337,0.34427603045992305,24.403629498551282,0.41347174724804353,False,GENUINE,0.95,ACCEPT
real_drone,drone_0020.csv,DRONE,True,0.8682113230181239,0.9999999999999946,1.9382120083418152e-13,0.39390879585936334,False,GENUINE,0.95,ACCEPT
real_drone,drone_0021.csv,DRONE,True,0.8697034166260933,0.9999999999999949,1.851481979987307e-13,0.6638863623195794,False,GENUINE,0.95,ACCEPT
real_drone,drone_0022.csv,HELICOPTER,True,0.8596991287026662,0.9877260744396172,0.5112353930104797,0.3947577019044603,False,GENUINE,0.95,ACCEPT
real_drone,drone_0023.csv,HELICOPTER,True,0.7893550361965874,0.9934568772965858,0.2606222443205813,0.39621453017051844,False,GENUINE,0.95,ACCEPT
real_drone,drone_0024.csv,DRONE,True,0.8646189294871665,0.9999999999999946,1.997061640621647e-13,0.6641223069932978,False,GENUINE,0.95,ACCEPT
real_drone,drone_0025.csv,HELICOPTER,False,0.8499411421685771,0.9026529159942626,3.2646947540079205,0.41416013425974196,False,GENUINE,0.95,ACCEPT
real_drone,drone_0026.csv,DRONE,True,0.8620890026353786,0.9999999999999948,1.892178827309481e-13,0.39616670709974783,False,GENUINE,0.95,ACCEPT
real_drone,drone_0027.csv,DRONE,True,0.8990735982632478,0.9999999999999946,1.9382120083418152e-13,0.6659999999769574,False,GENUINE,0.95,ACCEPT
real_drone,drone_0028.csv,DRONE,True,0.8690330580290001,0.9999999999999946,1.9382120083418152e-13,0.6526807815954335,False,GENUINE,0.95,ACCEPT
real_drone,drone_0029.csv,HELICOPTER,False,0.8250351527822676,0.3411248066836994,24.373000562280488,0.4020894985591449,False,GENUINE,0.95,ACCEPT
real_drone,drone_0030.csv,DRONE,True,0.8616683762648311,0.9999999999999948,1.892178827309481e-13,0.3992933376239982,False,GENUINE,0.95,ACCEPT
real_drone,drone_0031.csv,HELICOPTER,True,0.8619983709184436,0.9907207471042987,0.3463124959651717,0.39365350022533435,False,GENUINE,0.95,ACCEPT
real_drone,drone_0032.csv,HELICOPTER,False,0.8665465046056419,0.43271346678525335,22.123250373209295,0.403375746926313,False,GENUINE,0.95,ACCEPT
real_drone,drone_0033.csv,HELICOPTER,False,0.8629046385946616,0.15754055821800583,33.71325075756446,0.4443846931330251,False,GENUINE,0.95,ACCEPT
real_drone,drone_0034.csv,HELICOPTER,False,0.8910039799636752,0.6616947362123956,31.049576542217515,0.4504926773218251,False,GENUINE,0.95,ACCEPT
real_drone,drone_0035.csv,HELICOPTER,True,0.8579540434722351,0.9942338454137867,0.22048106705835172,0.6583333479997582,False,GENUINE,0.95,ACCEPT
real_drone,drone_0036.csv,HELICOPTER,False,0.86997217080062,0.5968799789612501,12.332433157948474,0.4141651290278759,False,GENUINE,0.95,ACCEPT
real_drone,drone_0037.csv,DRONE,True,0.9060034008466995,0.9999999999999946,1.9382120083418152e-13,0.6589745471301641,False,GENUINE,0.95,ACCEPT
